Year,Total_Consumption_MT,Net_Harvested_ha,Annual_Yield_kg_per_ha
2004,1954122.214,3903,3250.57648
2005,2027717.357,5672,2989.245416
2006,2052133.601,3233,2974.01794
2007,2111551.837,3948,3472.644377
2008,2161339.933,7067,3378.236876
2009,2256016.92,7111,3289.270145
2010,2333655.778,6189,2889.481338
2011,2283683.518,3926,3476.821521
2012,2292863.996,4224,3487.689394
2013,3882393.984,3167,3551.626145
2014,3979384.174,3791,3352.941176
2015,4721705.616,3561,3060.095479
2016,4104325.811,2243,3305.840392
2017,3800158.16,3477,3293.93155
2018,4105255.209,3744,3442.307692
2019,4317392.843,3104,3423.002577
2020,4698270.69,6012,3521.956088
2021,4747328.796,5235,2495.702006
2022,4274477.098,6028,2593.563371
2023,4235047.31,4983,3012.442304
